
Dies[A,A,E,E,G,N,][A,B,B,J,O,O,][A,C,H,O,P,S,][A,F,F,K,P,S,][A,O,O,T,T,W,][C,I,M,O,T,U,][D,E,I,L,R,X,][D,E,L,R,V,Y,][D,I,S,T,T,Y,][E,E,G,H,N,W,][E,E,I,N,S,U,][E,H,R,T,V,W,][E,I,O,S,S,T,][E,L,R,T,T,Y,][H,I,M,N,U,Qu,][H,L,N,N,R,Z,]
board:B W E T E E L S N O V E W F O X 	n_words 112 	avg 1.12e+02 	std 0.0 	min 112 	max 112 	N 1	words:['bee', 'bees', 'beet', 'beetle', 'bel', 'below', 'belt', 'ben', 'bene', 'bevel', 'eel', 'eleven', 'elevon', 'els', 'else', 'enol', 'enow', 'eon', 'eve', 'even', 'ewe', 'foe', 'fon', 'fool', 'fools', 'foveole', 'foveolet', 'fox', 'leben', 'lee', 'leet', 'leno', 'leone', 'let', 'lev', 'levee', 'levo', 'lex', 'lone', 'loo', 'loof', 'love', 'loves', 'low', 'lown', 'neb', 'nee', 'neve', 'new', 'newel', 'noel', 'noo', 'novel', 'now', 'oes', 'ole', 'oleo', 'one', 'oven', 'own', 'see', 'seel', 'sel', 'set', 'seven', 'sew', 'sex', 'sleet', 'sleeve', 'slew', 'sloe', 'sloven', 'slow', 'steel', 'steeve', 'stele', 'stew', 'svelte', 'tee', 'teel', 'teen', 'tel', 'tele', 'teles', 'telex', 'tels', 'tew', 'vee', 'vest', 'vestee', 'vex', 'voe', 'vole', 'volt', 'volte', 'vow', 'web', 'wee', 'ween', 'wees', 'weet', 'welt', 'welts', 'wen', 'west', 'wet', 'woe', 'won', 'woo', 'woof', 'wove', 'woven']
board:O E T E K A A E W C E I Qu L H D 	n_words 80 	avg 94.6 	std 84.6 	min 8 	max 562 	N 50	words:['ace', 'aced', 'acedia', 'ache', 'aid', 'aide', 'ate', 'awl', 'caid', 'cake', 'cat', 'cate', 'caw', 'cedi', 'cee', 'cel', 'cheat', 'chi', 'chia', 'chid', 'chide', 'chiel', 'cleat', 'deck', 'dee', 'deet', 'del', 'die', 'diel', 'diet', 'eat', 'edh', 'eel', 'eide', 'eta', 'heat', 'heck', 'hid', 'hide', 'hie', 'idea', 'ideate', 'kae', 'kat', 'kata', 'kea', 'koa', 'lea', 'leach', 'leak', 'lech', 'led', 'lee', 'leet', 'lei', 'oak', 'oat', 'oka', 'oke', 'tace', 'tach', 'tache', 'tack', 'tae', 'tael', 'take', 'tao', 'taw', 'tea', 'teacake', 'teach', 'teak', 'tee', 'teel', 'wack', 'wacke', 'wacko', 'wae', 'wake', 'wat']
board:U L S A R M O S T S T U W L R T 	n_words 53 	avg 93.8 	std 84.0 	min 8 	max 562 	N 51	words:['ass', 'loss', 'lost', 'lot', 'lotus', 'lour', 'lout', 'lum', 'moa', 'mol', 'mos', 'moss', 'most', 'mot', 'mott', 'oast', 'our', 'ours', 'oust', 'out', 'outs', 'rum', 'rumour', 'rust', 'rut', 'slot', 'slum', 'slur', 'sol', 'sols', 'solum', 'sos', 'sot', 'sou', 'sour', 'sours', 'sous', 'stoa', 'stour', 'stout', 'strum', 'strut', 'sturt', 'tolu', 'tom', 'toss', 'tost', 'tour', 'tout', 'truss', 'trust', 'tut', 'utmost']
board:G H O S I M E G E E Y P U S O Z 	n_words 70 	avg 93.3 	std 83.2 	min 8 	max 562 	N 52	words:['ego', 'eme', 'emes', 'emeu', 'epos', 'eye', 'eyes', 'gee', 'gees', 'gem', 'gey', 'ghee', 'ghi', 'gie', 'gym', 'gyp', 'hem', 'heme', 'hep', 'hes', 'hey', 'hie', 'him', 'hoe', 'hog', 'hogs', 'home', 'homes', 'homey', 'hose', 'mho', 'mig', 'mog', 'mos', 'mosey', 'myope', 'oes', 'ogee', 'ohm', 'ope', 'ose', 'oyes', 'pee', 'pees', 'peg', 'peh', 'pes', 'peso', 'poem', 'pose', 'pye', 'see', 'seem', 'seep', 'sees', 'seg', 'sego', 'sei', 'seme', 'semes', 'semi', 'sepoy', 'some', 'sop', 'soy', 'sue', 'use', 'yes', 'zygose', 'zyme']
board:L N T L W C L A E L U H S B Y I 	n_words 54 	avg 92.6 	std 82.6 	min 8 	max 562 	N 53	words:['all', 'alls', 'ally', 'alt', 'bel', 'bell', 'buhl', 'bull', 'bulla', 'bulls', 'bully', 'buy', 'cel', 'cell', 'cella', 'clew', 'club', 'cub', 'cube', 'cull', 'cully', 'cult', 'eclat', 'ecu', 'ell', 'els', 'hall', 'halt', 'hat', 'haul', 'hub', 'hula', 'hull', 'lall', 'lat', 'lube', 'luce', 'lull', 'sec', 'sect', 'sel', 'sell', 'sew', 'slew', 'slub', 'sly', 'talc', 'tall', 'tally', 'tau', 'web', 'webs', 'well', 'yule']
board:K O E - W V R T Qu R Y O E H O O 	n_words 179 	avg 94.2 	std 82.7 	min 8 	max 562 	N 54	words:['ere', 'err', 'errs', 'ers', 'eyre', 'for', 'foy', 'fro', 'frow', 'fry', 'goo', 'gor', 'gory', 'got', 'gowk', 'goy', 'grow', 'gyre', 'gyro', 'her', 'hero', 'herry', 'hers', 'hoot', 'hoot', 'hooter', 'hooty', 'horse', 'horsy', 'hot', 'how', 'howk', 'hoy', 'hoy', 'hyte', 'ire', 'ivy', 'jot', 'jow', 'joy', 'koi', 'kolo', 'kop', 'kor', 'kor', 'kore', 'kos', 'koto', 'loo', 'lorry', 'lory', 'lot', 'low', 'lyre', 'moo', 'moor', 'moory', 'mor', 'morro', 'mot', 'mow', 'myrrh', 'noo', 'nor', 'not', 'now', 'oes', 'oft', 'ogre', 'oho', 'onto', 'ooh', 'oot', 'oot', 'opt', 'ore', 'orgy', 'ors', 'ort', 'ort', 'ose', 'over', 'overt', 'pooh', 'poor', 'pot', 'pow', 'pro', 'prow', 'pry', 'pyre', 'query', 'ret', 'rev', 'rho', 'rho', 'roe', 'rom', 'roose', 'root', 'root', 'rooter', 'rooty', 'ropy', 'rosy', 'rot', 'rot', 'rote', 'roto', 'rove', 'row', 'row', 'ryot', 'ryot', 'sorry', 'soy', 'tho', 'thro', 'thy', 'tire', 'tiro', 'tivy', 'too', 'too', 'took', 'tor', 'tor', 'tore', 'tore', 'toro', 'toro', 'torque', 'torr', 'torr', 'tory', 'toy', 'toy', 'toyo', 'toyo', 'trove', 'trow', 'trow', 'troy', 'troy', 'try', 'try', 'tyre', 'tyre', 'tyro', 'tyro', 'vert', 'very', 'vet', 'vet', 'veto', 'veto', 'voe', 'volt', 'vote', 'vow', 'vrow', 'vrow', 'woe', 'wog', 'wok', 'won', 'wont', 'woo', 'wop', 'wore', 'worry', 'worry', 'wort', 'wort', 'wos', 'wot', 'wove', 'wry', 'yore']
board:O W S E E O L N H F W R R C T I 	n_words 76 	avg 93.9 	std 82.0 	min 8 	max 562 	N 55	words:['chef', 'chew', 'chose', 'chow', 'chows', 'chowse', 'eft', 'elf', 'els', 'ens', 'feh', 'few', 'floe', 'flow', 'flows', 'foe', 'foh', 'fowl', 'heft', 'hew', 'hoe', 'hole', 'hols', 'hose', 'hosel', 'how', 'howe', 'howf', 'howl', 'hows', 'itch', 'lens', 'loft', 'loo', 'lose', 'low', 'lowe', 'lown', 'lows', 'oft', 'ole', 'ooh', 'ose', 'owe', 'owl', 'own', 'owse', 'rho', 'sel', 'self', 'sen', 'sloe', 'slow', 'soft', 'sol', 'sole', 'sow', 'tirl', 'twirl', 'two', 'twos', 'weft', 'wit', 'witch', 'woe', 'wolf', 'woo', 'woof', 'wool', 'woolen', 'wools', 'woos', 'wos', 'wow', 'wows', 'writ']
board:D Y H W I T O R S V P F N U E Qu 	n_words 80 	avg 93.6 	std 81.2 	min 8 	max 562 	N 56	words:['dis', 'dit', 'dits', 'dive', 'divot', 'feu', 'foh', 'fop', 'for', 'foy', 'fro', 'froth', 'frow', 'hop', 'hope', 'hot', 'hots', 'hove', 'how', 'hoy', 'its', 'ope', 'opt', 'opus', 'pot', 'pots', 'pow', 'pro', 'prof', 'prove', 'prow', 'pun', 'puns', 'pus', 'rho', 'rope', 'rot', 'roti', 'rotis', 'rove', 'row', 'sit', 'sith', 'stop', 'stope', 'stove', 'stow', 'sty', 'sue', 'sun', 'sup', 'supe', 'tho', 'thorp', 'thorpe', 'thro', 'throw', 'thy', 'tidy', 'tis', 'top', 'tope', 'tor', 'tow', 'toy', 'uns', 'unstop', 'upo', 'upthrow', 'vis', 'vow', 'who', 'whop', 'why', 'wop', 'wot', 'wove', 'wroth', 'yid', 'yow']
board:R O E I B F S T G W O H L A I S 	n_words 80 	avg 93.4 	std 80.5 	min 8 	max 562 	N 57	words:['ais', 'awl', 'bos', 'bosh', 'bro', 'bros', 'brose', 'eth', 'ethos', 'feist', 'fet', 'fetish', 'foal', 'fob', 'foe', 'foh', 'for', 'forb', 'fowl', 'fro', 'froe', 'frost', 'gal', 'his', 'hose', 'host', 'hot', 'hots', 'how', 'howf', 'howl', 'hows', 'its', 'lag', 'law', 'laws', 'oes', 'ohia', 'orb', 'ose', 'owl', 'owse', 'rob', 'roe', 'rose', 'roset', 'sei', 'set', 'shoal', 'shot', 'shote', 'show', 'shows', 'sial', 'sit', 'site', 'sith', 'sob', 'sorb', 'sos', 'sot', 'soth', 'sow', 'stoa', 'stow', 'swag', 'swish', 'swot', 'thio', 'this', 'tho', 'tie', 'tis', 'tosh', 'tow', 'wag', 'wis', 'wish', 'wos', 'wot']
board:Y I T O C S E N H F D T Z J M H 	n_words 61 	avg 92.8 	std 80.0 	min 8 	max 562 	N 58	words:['cis', 'cist', 'cite', 'cyst', 'deist', 'den', 'dent', 'edh', 'end', 'eon', 'eth', 'fed', 'feist', 'fen', 'fend', 'fet', 'fetich', 'fetish', 'ich', 'its', 'nest', 'net', 'nets', 'noes', 'not', 'note', 'noted', 'oes', 'one', 'ones', 'ontic', 'sei', 'sen', 'send', 'sent', 'senti', 'set', 'seton', 'sic', 'sit', 'site', 'steno', 'stet', 'stich', 'stone', 'ted', 'ten', 'tend', 'tent', 'tenth', 'test', 'teston', 'tet', 'teth', 'tic', 'tie', 'tis', 'toe', 'toes', 'ton', 'tone']
board:D U Y A H O N T Y A H M L I K E 	n_words 69 	avg 92.4 	std 79.3 	min 8 	max 562 	N 59	words:['ail', 'alike', 'ana', 'anal', 'anoa', 'ant', 'anta', 'anthem', 'any', 'dhak', 'dhal', 'don', 'dona', 'dun', 'dunt', 'duo', 'hah', 'haik', 'hail', 'hake', 'hant', 'hao', 'hay', 'hem', 'hike', 'hila', 'hod', 'hon', 'hoy', 'hoya', 'hun', 'hunt', 'hyla', 'kahuna', 'kail', 'kana', 'kaon', 'kay', 'kayo', 'khan', 'khi', 'lake', 'lakh', 'lay', 'liana', 'like', 'mho', 'nail', 'nay', 'nod', 'noh', 'oak', 'ohia', 'ohm', 'oud', 'tan', 'than', 'the', 'them', 'tho', 'thou', 'udo', 'unai', 'yah', 'yak', 'yod', 'yodh', 'yon', 'you']
board:E S V I L O E T N S U W G W S A 	n_words 68 	avg 92.0 	std 78.7 	min 8 	max 562 	N 60	words:['ass', 'asses', 'asset', 'awe', 'awes', 'els', 'else', 'eon', 'ess', 'loess', 'long', 'longs', 'lose', 'loss', 'louse', 'lout', 'love', 'loves', 'noel', 'noes', 'nos', 'nose', 'nous', 'oes', 'ole', 'ons', 'onset', 'ose', 'out', 'outvie', 'sau', 'saute', 'saw', 'sei', 'sel', 'sels', 'set', 'sew', 'sloe', 'snout', 'sol', 'sole', 'sols', 'son', 'song', 'songs', 'sons', 'sos', 'sou', 'sous', 'souse', 'soviet', 'sue', 'suet', 'tew', 'tie', 'tussle', 'twa', 'twas', 'use', 'vet', 'vie', 'view', 'voe', 'vole', 'was', 'wet', 'wuss']
board:P O M O L T T O E G E N I U H B 	n_words 91 	avg 92.0 	std 78.1 	min 8 	max 562 	N 61	words:['beg', 'beget', 'ben', 'bent', 'bet', 'betel', 'beton', 'eon', 'gel', 'gelt', 'gen', 'genom', 'gent', 'gentoo', 'get', 'ghetto', 'gie', 'glom', 'glop', 'hen', 'hent', 'het', 'hue', 'hug', 'huge', 'leg', 'lei', 'let', 'leu', 'lop', 'lot', 'lotte', 'lotto', 'mol', 'mole', 'molt', 'molten', 'mon', 'monte', 'moo', 'moon', 'moot', 'mop', 'mot', 'mote', 'motel', 'motet', 'mott', 'motte', 'mottle', 'motto', 'neb', 'net', 'netop', 'nett', 'nettle', 'nom', 'noo', 'not', 'note', 'ole', 'one', 'onto', 'oot', 'opt', 'otto', 'plot', 'pol', 'pole', 'pom', 'pot', 'potent', 'pottle', 'potto', 'teg', 'tel', 'ten', 'tent', 'tet', 'teugh', 'toe', 'tole', 'tom', 'ton', 'tone', 'too', 'toon', 'top', 'tot', 'tote', 'ugh']
board:N E T T H D T Qu L A O R A S E I 	n_words 133 	avg 92.7 	std 77.6 	min 8 	max 562 	N 62	words:['aah', 'aal', 'aas', 'ado', 'adore', 'aero', 'ala', 'alas', 'alate', 'aldose', 'als', 'ate', 'att', 'attend', 'dah', 'dahl', 'dal', 'date', 'dato', 'den', 'dhal', 'doat', 'doe', 'doer', 'does', 'dor', 'dos', 'dose', 'doser', 'dot', 'dote', 'eat', 'edh', 'end', 'erode', 'eros', 'eta', 'had', 'hade', 'hae', 'hao', 'has', 'hat', 'hate', 'hen', 'het', 'iodate', 'iota', 'ire', 'lad', 'lade', 'laden', 'las', 'lase', 'laser', 'lat', 'late', 'laten', 'latte', 'latten', 'net', 'nett', 'oat', 'ode', 'oes', 'ore', 'oread', 'ort', 'ose', 'quod', 'quota', 'quote', 'read', 'real', 'rei', 'res', 'reslate', 'resod', 'riot', 'road', 'rod', 'rode', 'roe', 'rose', 'roseate', 'rot', 'rota', 'rote', 'rotte', 'rotten', 'sad', 'sade', 'sadhe', 'sal', 'salad', 'sat', 'sate', 'satori', 'sea', 'seal', 'seat', 'sei', 'ser', 'slat', 'slate', 'sod', 'soda', 'sore', 'sori', 'sort', 'sot', 'tad', 'tae', 'tala', 'tao', 'tas', 'ted', 'ten', 'tend', 'tet', 'toad', 'tod', 'toe', 'toes', 'tor', 'tore', 'tori', 'tread', 'trio', 'triode', 'trios', 'triose', 'trod']
board:- I V A H S R R A M T T F C E H 	n_words 230 	avg 94.8 	std 78.9 	min 8 	max 562 	N 63	words:['ace', 'acme', 'act', 'aim', 'air', 'airs', 'airt', 'airth', 'airts', 'ais', 'ait', 'ajiva', 'alme', 'almeh', 'alt', 'ami', 'amir', 'ani', 'ant', 'ante', 'anthem', 'antra', 'apt', 'aria', 'ark', 'arm', 'arm', 'armet', 'arms', 'arms', 'aroma', 'arris', 'ars', 'ars', 'art', 'arts', 'ash', 'avo', 'calm', 'cam', 'cam', 'came', 'cams', 'can', 'cant', 'cap', 'car', 'carr', 'cart', 'carte', 'cash', 'cast', 'cast', 'caste', 'caste', 'emf', 'eth', 'face', 'facet', 'fact', 'fair', 'fairs', 'faith', 'fakir', 'fame', 'fan', 'faqir', 'far', 'farm', 'fart', 'fas', 'fas', 'fash', 'fast', 'fast', 'ham', 'ham', 'hame', 'hame', 'hams', 'has', 'hast', 'haste', 'hem', 'hems', 'het', 'him', 'his', 'hist', 'hit', 'hmm', 'home', 'hora', 'hot', 'imam', 'invar', 'ism', 'ism', 'item', 'jam', 'kaf', 'kame', 'khaf', 'kir', 'kiva', 'lac', 'lace', 'lam', 'lame', 'lira', 'mac', 'mac', 'mace', 'mace', 'mair', 'mairs', 'maist', 'malt', 'man', 'mantra', 'map', 'mar', 'mart', 'mas', 'mas', 'mash', 'mast', 'mast', 'met', 'meth', 'metrist', 'metro', 'mir', 'miri', 'mirs', 'mirth', 'mis', 'misact', 'mist', 'mite', 'mitt', 'moa', 'moira', 'mor', 'mora', 'mort', 'mot', 'mote', 'motet', 'moth', 'mott', 'motte', 'nah', 'nam', 'name', 'nth', 'oaf', 'ohm', 'ora', 'orra', 'ort', 'ova', 'pac', 'pace', 'pact', 'pah', 'pam', 'race', 'rah', 'ram', 'ramet', 'ravish', 'ria', 'rim', 'rime', 'rite', 'roam', 'rom', 'rot', 'rote', 'rotte', 'sac', 'sac', 'same', 'same', 'sha', 'sha', 'sham', 'sham', 'shame', 'shame', 'shirr', 'shirt', 'shiv', 'shiva', 'sir', 'sir', 'sirra', 'sirra', 'sri', 'sri', 'stem', 'stem', 'stet', 'stet', 'tet', 'teth', 'tetra', 'the', 'theca', 'them', 'triac', 'trim', 'trio', 'trip', 'triste', 'triste', 'trite', 'trot', 'troth', 'var', 'varia', 'varna', 'vars', 'vars', 'via', 'vim', 'vis', 'visa', 'vote']
board:T Y E R T J F R C W X O N G N E 	n_words 20 	avg 93.7 	std 78.8 	min 8 	max 562 	N 64	words:['eng', 'eon', 'err', 'exon', 'fer', 'fey', 'foe', 'fon', 'for', 'fore', 'fox', 'fro', 'froe', 'nor', 'one', 'ore', 'ref', 'roe', 'tye', 'tyer']
board:T E N Y K H I D M V O N - H O R 	n_words 223 	avg 95.7 	std 79.8 	min 8 	max 562 	N 65	words:['die', 'diet', 'din', 'dine', 'don', 'donor', 'doolie', 'doom', 'door', 'door', 'dor', 'dyne', 'end', 'eth', 'ethion', 'eths', 'hen', 'het', 'hid', 'hie', 'hin', 'hind', 'hod', 'hoke', 'hon', 'honor', 'hood', 'hood', 'hoodie', 'hoodie', 'hoody', 'horn', 'huh', 'indoor', 'inro', 'iodin', 'iodine', 'ion', 'jin', 'john', 'join', 'ken', 'kendo', 'khet', 'khi', 'kid', 'kin', 'kind', 'kine', 'kino', 'koi', 'koine', 'kor', 'lid', 'lido', 'lie', 'lien', 'lin', 'lindy', 'line', 'lino', 'liny', 'lion', 'loin', 'loo', 'looie', 'loon', 'lorn', 'mho', 'mho', 'mid', 'mien', 'mike', 'mind', 'mine', 'minor', 'mod', 'modi', 'moke', 'mon', 'mondo', 'monie', 'mono', 'monody', 'moo', 'mood', 'moody', 'moon', 'moor', 'mor', 'morn', 'moron', 'muon', 'net', 'nine', 'nine', 'nod', 'nod', 'nodi', 'nodi', 'noh', 'noh', 'nolo', 'nom', 'nomoi', 'noo', 'noo', 'nook', 'noon', 'nor', 'nor', 'nori', 'norm', 'nos', 'nosh', 'not', 'ohm', 'oho', 'ohs', 'oke', 'okeh', 'olio', 'onion', 'ooh', 'ooh', 'oorie', 'oot', 'ootid', 'opine', 'ovine', 'ovoid', 'phi', 'phon', 'phono', 'pht', 'pie', 'pin', 'pine', 'piny', 'pion', 'pod', 'poh', 'poi', 'poind', 'pond', 'pood', 'pooh', 'poon', 'poor', 'porn', 'porno', 'rhino', 'rho', 'rid', 'rin', 'rind', 'rod', 'rod', 'rondo', 'rondo', 'rood', 'rood', 'she', 'shend', 'shin', 'shindy', 'shine', 'shiny', 'shod', 'shoo', 'shoon', 'shorn', 'sin', 'sine', 'sinh', 'skein', 'sod', 'son', 'soon', 'sorn', 'teind', 'ten', 'tend', 'tendon', 'the', 'thein', 'then', 'thin', 'thine', 'thio', 'tho', 'thorn', 'thoro', 'thoron', 'tidy', 'tie', 'tin', 'tine', 'tiny', 'tod', 'tody', 'ton', 'tondi', 'tondo', 'too', 'toon', 'tor', 'torn', 'toro', 'toroid', 'uke', 'vie', 'vie', 'vine', 'vine', 'vino', 'vino', 'viny', 'viny', 'void', 'void', 'yid', 'yin']
board:M L Y A T N S Y T A H T - N I E 	n_words 308 	avg 98.9 	std 83.4 	min 8 	max 562 	N 66	words:['ain', 'air', 'airn', 'airns', 'airt', 'ais', 'ait', 'ait', 'aits', 'ani', 'ani', 'ansa', 'ansa', 'ant', 'ant', 'any', 'any', 'apt', 'aptly', 'art', 'asci', 'ash', 'ash', 'ashen', 'ask', 'asp', 'ass', 'att', 'bit', 'bite', 'bits', 'bitsy', 'chi', 'chit', 'chits', 'cite', 'city', 'die', 'diet', 'diets', 'dit', 'dite', 'dits', 'ditsy', 'ens', 'eth', 'ethion', 'eths', 'fie', 'fit', 'fits', 'ghi', 'gie', 'git', 'gits', 'hansa', 'hansa', 'hant', 'hant', 'hao', 'hap', 'hart', 'has', 'has', 'hast', 'hast', 'haste', 'hat', 'heir', 'heist', 'hen', 'hens', 'hent', 'het', 'het', 'hic', 'hid', 'hie', 'hie', 'hilt', 'him', 'hin', 'hin', 'hinny', 'hins', 'hint', 'hint', 'hip', 'his', 'hisn', 'hist', 'hit', 'hit', 'hits', 'hon', 'hons', 'hot', 'hotly', 'ich', 'ichs', 'ink', 'inly', 'inn', 'inns', 'ins', 'ion', 'ions', 'iota', 'iotas', 'its', 'khet', 'khets', 'khi', 'kit', 'kite', 'kith', 'kithe', 'kiths', 'kits', 'knit', 'knits', 'lie', 'lit', 'lite', 'lithe', 'lits', 'lyse', 'lysin', 'mite', 'mity', 'nah', 'nan', 'nan', 'nans', 'nap', 'nasty', 'net', 'nett', 'nettly', 'nib', 'nil', 'nim', 'ninny', 'nip', 'nit', 'nit', 'nite', 'nite', 'nits', 'nonyl', 'nonyls', 'not', 'oast', 'oat', 'only', 'ons', 'pah', 'pan', 'pans', 'pansy', 'pant', 'pas', 'pash', 'past', 'paste', 'pastie', 'pasty', 'pat', 'patly', 'qat', 'rah', 'ran', 'rant', 'ras', 'rash', 'rat', 'sain', 'saint', 'saith', 'saith', 'saithe', 'sanity', 'sans', 'sap', 'sash', 'sat', 'say', 'sei', 'sen', 'sent', 'set', 'sett', 'sha', 'shanny', 'sharn', 'sharny', 'shat', 'she', 'she', 'shent', 'shh', 'shift', 'shim', 'shin', 'shin', 'shinny', 'shiny', 'ship', 'shirt', 'shist', 'shit', 'shit', 'shoat', 'shot', 'shy', 'sin', 'sinh', 'sit', 'ski', 'skit', 'skite', 'slit', 'sly', 'smit', 'smite', 'smith', 'smithy', 'snash', 'snit', 'snits', 'snot', 'son', 'sonly', 'sot', 'stash', 'stein', 'stint', 'stir', 'sty', 'syn', 'sync', 'synch', 'syne', 'synth', 'tain', 'taint', 'tan', 'tan', 'tans', 'tans', 'tansy', 'tao', 'tap', 'tar', 'tarn', 'tarns', 'tas', 'tas', 'taste', 'tasty', 'tat', 'ten', 'tens', 'tet', 'than', 'than', 'that', 'the', 'the', 'thein', 'their', 'theist', 'then', 'thens', 'thin', 'thin', 'thinly', 'thins', 'thio', 'thir', 'this', 'tho', 'thy', 'tic', 'tie', 'tie', 'til', 'tilt', 'tin', 'tin', 'tinct', 'tine', 'ting', 'tinny', 'tins', 'tint', 'tint', 'tiny', 'tip', 'tis', 'tit', 'titan', 'titans', 'ton', 'tons', 'tony', 'tsk', 'yay']
board:L S E V M K T O J R V N E E I P 	n_words 60 	avg 98.3 	std 82.9 	min 8 	max 562 	N 67	words:['eon', 'ere', 'estrin', 'into', 'invert', 'ire', 'irk', 'irks', 'jee', 'jeer', 'jerk', 'keto', 'nip', 'noes', 'not', 'note', 'oes', 'oestrin', 'over', 'overt', 'pie', 'pier', 'pin', 'pinot', 'pint', 'pinto', 'pints', 'pivot', 'ree', 'rei', 'rein', 'rev', 'revote', 'rin', 'rip', 'rive', 'set', 'seton', 'stove', 'stover', 'strip', 'strive', 'toe', 'toes', 'ton', 'tree', 'trip', 'tsk', 'vee', 'veer', 'vein', 'vert', 'vest', 'vet', 'veto', 'vie', 'vier', 'vino', 'voe', 'vote']
board:A B V V F H I A L O G D Z N I I 	n_words 58 	avg 97.7 	std 82.4 	min 8 	max 562 	N 68	words:['abiding', 'agha', 'agin', 'agio', 'ago', 'agon', 'aid', 'avid', 'avidin', 'avion', 'bah', 'bid', 'big', 'bio', 'dag', 'dago', 'dib', 'dig', 'din', 'ding', 'dingo', 'diol', 'diva', 'flog', 'flong', 'fog', 'foh', 'foin', 'fon', 'gad', 'gadi', 'ghi', 'gib', 'gid', 'gin', 'golf', 'gonidia', 'hid', 'hiding', 'hog', 'hon', 'hong', 'ion', 'log', 'loin', 'long', 'nidi', 'nigh', 'nog', 'noh', 'ohia', 'vagi', 'vav', 'via', 'vig', 'viga', 'viol', 'viva']
board:H L T Y F R A J I W E E D U U E 	n_words 73 	avg 97.3 	std 81.8 	min 8 	max 562 	N 69	words:['alt', 'are', 'arf', 'arid', 'art', 'awe', 'dire', 'dirl', 'dirt', 'dirty', 'due', 'dui', 'dwarf', 'ear', 'earl', 'eat', 'era', 'fid', 'fir', 'fire', 'flare', 'flat', 'flaw', 'flay', 'frae', 'frat', 'fray', 'free', 'ire', 'jar', 'jarl', 'jaw', 'jay', 'jee', 'jeer', 'jerid', 'jeu', 'jew', 'lar', 'laree', 'lari', 'lat', 'law', 'lay', 'raj', 'rat', 'raw', 'ray', 'real', 'ree', 'rid', 'rif', 'tae', 'taj', 'tar', 'tare', 'taw', 'tawer', 'tray', 'tree', 'wae', 'war', 'ware', 'wart', 'wat', 'way', 'weal', 'wear', 'wee', 'wire', 'yar', 'yare', 'yaw']
board:Z O E E W I E J C Y R F W Y D C 	n_words 26 	avg 96.3 	std 81.7 	min 8 	max 562 	N 70	words:['cire', 'cry', 'dree', 'dry', 'dye', 'dyer', 'eerie', 'eyrie', 'fee', 'fer', 'fey', 'free', 'friz', 'fry', 'ire', 'jee', 'jeer', 'ree', 'ref', 'rei', 'rye', 'wire', 'wiz', 'woe', 'wye', 'yird']
board:T R N O R X A T H Y J N F T S P 	n_words 39 	avg 95.5 	std 81.4 	min 8 	max 562 	N 71	words:['ant', 'art', 'jar', 'jato', 'jay', 'nan', 'nay', 'nays', 'not', 'nota', 'oar', 'oat', 'raj', 'ran', 'rant', 'rat', 'rato', 'rax', 'ray', 'rya', 'sty', 'taj', 'tan', 'tans', 'tao', 'tar', 'tarn', 'tarry', 'tart', 'tax', 'thy', 'ton', 'trans', 'tray', 'try', 'tryst', 'xyst', 'yar', 'yarn']
board:T W G M I X L A N H R O H P E C 	n_words 66 	avg 95.1 	std 80.9 	min 8 	max 562 	N 72	words:['aloe', 'arc', 'are', 'ceorl', 'cep', 'cero', 'coal', 'col', 'cola', 'cor', 'coral', 'core', 'crag', 'cram', 'era', 'gal', 'galore', 'gam', 'gaol', 'gar', 'glare', 'gloam', 'hep', 'her', 'herl', 'hero', 'hin', 'hit', 'ihram', 'lag', 'lam', 'lar', 'loam', 'lore', 'mag', 'mar', 'marc', 'mare', 'marl', 'nit', 'nix', 'oar', 'ora', 'oral', 'orc', 'ore', 'pec', 'peh', 'per', 'phi', 'pram', 'prao', 'pro', 'proa', 'rag', 'ram', 'rec', 'recoal', 'rep', 'roam', 'roc', 'roe', 'tin', 'twin', 'win', 'wit']
board:B I P M L Y I P T N E E R T Z L 	n_words 66 	avg 94.7 	std 80.4 	min 8 	max 562 	N 73	words:['blip', 'bye', 'eel', 'imp', 'impel', 'impi', 'lee', 'leet', 'lei', 'lent', 'let', 'ley', 'lez', 'lib', 'lip', 'lipin', 'lippen', 'lye', 'mien', 'mine', 'mint', 'nee', 'neep', 'net', 'nett', 'nim', 'nip', 'pee', 'peel', 'peen', 'pein', 'pele', 'pen', 'pent', 'pentyl', 'pet', 'pie', 'pimp', 'pin', 'pine', 'pint', 'piny', 'pip', 'pipe', 'pipet', 'pye', 'pyin', 'tee', 'teel', 'tel', 'tele', 'ten', 'tent', 'tye', 'tyee', 'tyne', 'typp', 'yen', 'yet', 'yett', 'yin', 'yip', 'yipe', 'yippie', 'zee', 'zein']
